# Detection rules and their settings (src/rules.rs).
New DHCP server || Neuer DHCP-Server || Nouveau serveur DHCP || Servidor DHCP nuevo || Nový DHCP server
A device you have not seen before starts handing out network addresses: a rogue DHCP server can redirect every client's traffic. Servers seen during the learning period are the normal ones. || Ein bisher unbekanntes Gerät beginnt, Netzwerkadressen zu vergeben: Ein Rogue-DHCP-Server kann den Verkehr jedes Clients umleiten. In der Lernphase gesehene Server gelten als normal. || Un appareil jamais vu commence à distribuer des adresses réseau : un serveur DHCP pirate peut rediriger le trafic de tous les clients. Les serveurs vus pendant l'apprentissage sont les normaux. || Un dispositivo que no había visto empieza a repartir direcciones de red: un servidor DHCP no autorizado puede redirigir el tráfico de todos los clientes. Los servidores vistos durante el aprendizaje son los normales. || Zariadenie, ktoré ste predtým nevideli, začne prideľovať sieťové adresy: nepovolený DHCP server môže presmerovať prevádzku každého klienta. Servery videné počas učenia sú tie bežné.
Burst of new devices || Schub neuer Geräte || Rafale de nouveaux appareils || Ráfaga de dispositivos nuevos || Séria nových zariadení
Contact with a known-bad address || Kontakt mit bekannter Schadadresse || Contact avec une adresse malveillante connue || Contacto con una dirección maliciosa conocida || Kontakt so známou škodlivou adresou
A device contacts an address on your threat list (a blocklist file you supply, for example from abuse.ch or Spamhaus). Not subject to learning. || Ein Gerät kontaktiert eine Adresse auf Ihrer Bedrohungsliste (eine von Ihnen bereitgestellte Sperrliste, z. B. von abuse.ch oder Spamhaus). Unterliegt nicht der Lernphase. || Un appareil contacte une adresse figurant sur votre liste de menaces (un fichier de liste de blocage que vous fournissez, par exemple d'abuse.ch ou Spamhaus). Non soumis à l'apprentissage. || Un dispositivo contacta una dirección de su lista de amenazas (un archivo de lista de bloqueo que usted proporciona, por ejemplo de abuse.ch o Spamhaus). No está sujeto al aprendizaje. || Zariadenie kontaktuje adresu z vášho zoznamu hrozieb (súbor blokovacieho zoznamu, ktorý dodáte, napr. z abuse.ch alebo Spamhaus). Neprechádza obdobím učenia.
traffic analysis (--flows) and --threat-list <file> || Verkehrsanalyse (--flows) und --threat-list <Datei> || analyse du trafic (--flows) et --threat-list <fichier> || análisis de tráfico (--flows) y --threat-list <archivo> || analýza prevádzky (--flows) a --threat-list <súbor>
OT: new communication path || OT: neuer Kommunikationsweg || OT : nouveau chemin de communication || OT: nueva ruta de comunicación || OT: nová komunikačná cesta
An industrial device starts talking to a controller it never talked to. Writes and control messages weigh more than reads. || Ein Industriegerät beginnt, mit einer Steuerung zu sprechen, mit der es nie sprach. Schreib- und Steuernachrichten wiegen schwerer als Lesezugriffe. || Un appareil industriel commence à parler à un automate avec lequel il n'avait jamais communiqué. Les écritures et messages de contrôle pèsent plus que les lectures. || Un dispositivo industrial empieza a hablar con un controlador con el que nunca había hablado. Las escrituras y los mensajes de control pesan más que las lecturas. || Priemyselné zariadenie začne komunikovať s riadiacim systémom, s ktorým nikdy nekomunikovalo. Zápisy a riadiace správy majú väčšiu váhu ako čítania.
traffic analysis on a mirror port || Verkehrsanalyse an einem Mirror-Port || analyse du trafic sur un port miroir || análisis de tráfico en un puerto espejo || analýza prevádzky na zrkadlovom porte
OT: control command || OT: Steuerbefehl || OT : commande de contrôle || OT: comando de control || OT: riadiaci príkaz
A stop, program-download or restart command is sent to a controller. The first one is alarming, repeats are routine. || Ein Stopp-, Programm-Download- oder Neustartbefehl wird an eine Steuerung gesendet. Der erste ist alarmierend, Wiederholungen sind Routine. || Une commande d'arrêt, de téléchargement de programme ou de redémarrage est envoyée à un automate. La première est alarmante, les suivantes sont routinières. || Se envía a un controlador un comando de parada, descarga de programa o reinicio. El primero es alarmante, las repeticiones son rutina. || Riadiacemu systému sa pošle príkaz na zastavenie, nahranie programu alebo reštart. Prvý je alarmujúci, opakovania sú rutina.
OT: skipping a Purdue level || OT: Purdue-Ebene übersprungen || OT : niveau Purdue sauté || OT: nivel Purdue omitido || OT: preskočenie úrovne Purdue
Two industrial devices talk across more than one Purdue level (for example a controller straight to an office PC), against the usual segmentation model. Needs the Purdue level on both devices in the register. || Zwei Industriegeräte kommunizieren über mehr als eine Purdue-Ebene hinweg (z. B. eine Steuerung direkt mit einem Büro-PC), entgegen dem üblichen Segmentierungsmodell. Erfordert die Purdue-Ebene beider Geräte im Register. || Deux appareils industriels communiquent à travers plus d'un niveau Purdue (par exemple un automate directement avec un PC de bureau), contrairement au modèle de segmentation habituel. Nécessite le niveau Purdue des deux appareils dans le registre. || Dos dispositivos industriales se comunican saltando más de un nivel Purdue (por ejemplo, un controlador directamente con un PC de oficina), contra el modelo de segmentación habitual. Requiere el nivel Purdue de ambos dispositivos en el registro. || Dve priemyselné zariadenia komunikujú cez viac než jednu úroveň Purdue (napríklad riadiaci systém priamo s kancelárskym PC), čo je proti bežnému modelu segmentácie. Vyžaduje úroveň Purdue oboch zariadení v registri.
traffic analysis on a mirror port; Purdue levels entered || Verkehrsanalyse an einem Mirror-Port; Purdue-Ebenen eingetragen || analyse du trafic sur un port miroir ; niveaux Purdue renseignés || análisis de tráfico en un puerto espejo; niveles Purdue introducidos || analýza prevádzky na zrkadlovom porte; zadané úrovne Purdue
OT: write from an unexpected device || OT: Schreibzugriff von unerwartetem Gerät || OT : écriture depuis un appareil inattendu || OT: escritura desde un dispositivo inesperado || OT: zápis z neočakávaného zariadenia
A phone, printer, camera, IoT gadget or similar sends write or control commands to an industrial device. Engineering laptops typed as computers are not flagged. || Ein Telefon, Drucker, eine Kamera, ein IoT-Gerät o. Ä. sendet Schreib- oder Steuerbefehle an ein Industriegerät. Engineering-Laptops, die als Computer eingestuft sind, werden nicht gemeldet. || Un téléphone, une imprimante, une caméra, un objet IoT ou similaire envoie des commandes d'écriture ou de contrôle à un appareil industriel. Les portables d'ingénierie typés comme ordinateurs ne sont pas signalés. || Un teléfono, impresora, cámara, dispositivo IoT o similar envía comandos de escritura o control a un dispositivo industrial. Los portátiles de ingeniería tipificados como ordenadores no se señalan. || Telefón, tlačiareň, kamera, IoT zariadenie alebo podobné zariadenie posiela zápisové alebo riadiace príkazy priemyselnému zariadeniu. Inžinierske notebooky typované ako počítače sa nehlásia.
OT: industrial protocol crossing the boundary || OT: Industrieprotokoll überschreitet die Netzgrenze || OT : protocole industriel franchissant la frontière || OT: protocolo industrial que cruza el límite || OT: priemyselný protokol prekračuje hranicu siete
An industrial protocol is seen between a local device and an address outside the network. || Ein Industrieprotokoll wird zwischen einem lokalen Gerät und einer Adresse außerhalb des Netzwerks beobachtet. || Un protocole industriel est observé entre un appareil local et une adresse extérieure au réseau. || Se observa un protocolo industrial entre un dispositivo local y una dirección fuera de la red. || Medzi lokálnym zariadením a adresou mimo siete bol zistený priemyselný protokol.
Deviations above normal || Abweichungen über dem Normalwert || Écarts au-dessus de la normale || Desviaciones sobre lo normal || Odchýlky nad normál
×σ || ×σ || ×σ || ×σ || ×σ
How many standard deviations above a device's own average a 5-minute transfer must be. || Um wie viele Standardabweichungen über dem eigenen Durchschnitt eines Geräts eine 5-Minuten-Übertragung liegen muss. || De combien d'écarts-types au-dessus de la moyenne propre d'un appareil un transfert de 5 minutes doit se situer. || Cuántas desviaciones estándar por encima de la media propia de un dispositivo debe estar una transferencia de 5 minutos. || O koľko štandardných odchýlok nad vlastným priemerom zariadenia musí byť 5-minútový prenos.
Ignore transfers smaller than || Übertragungen ignorieren, die kleiner sind als || Ignorer les transferts inférieurs à || Ignorar transferencias menores de || Ignorovať prenosy menšie ako
MB || MB || Mo || MB || MB
Windows that send less than this are never anomalous, however unusual. || Intervalle, die weniger senden, sind nie auffällig, egal wie ungewöhnlich. || Les fenêtres qui envoient moins que cela ne sont jamais anormales, si inhabituelles soient-elles. || Las ventanas que envían menos que esto nunca son anómalas, por inusuales que sean. || Okná, ktoré odošlú menej, nikdy nie sú anomálne, nech sú akokoľvek nezvyčajné.
Samples before judging || Messwerte vor der Beurteilung || Échantillons avant jugement || Muestras antes de juzgar || Vzorky pred posúdením
windows || Intervalle || fenêtres || ventanas || okná
A device needs this many 5-minute windows of history before its volume is judged. || Ein Gerät braucht so viele 5-Minuten-Intervalle Verlauf, bevor sein Volumen beurteilt wird. || Un appareil a besoin de ce nombre de fenêtres de 5 minutes d'historique avant que son volume soit jugé. || Un dispositivo necesita esta cantidad de ventanas de 5 minutos de historial antes de juzgar su volumen. || Zariadenie potrebuje toľko 5-minútových okien histórie, kým sa posúdi jeho objem.
Minimum gap between alerts || Mindestabstand zwischen Warnungen || Intervalle minimal entre alertes || Intervalo mínimo entre alertas || Minimálny odstup medzi upozorneniami
min || Min. || min || min || min
Per device. || Pro Gerät. || Par appareil. || Por dispositivo. || Pre každé zariadenie.
Known ports before a new one counts || Bekannte Ports, bevor ein neuer zählt || Ports connus avant qu'un nouveau compte || Puertos conocidos antes de que cuente uno nuevo || Známe porty, kým sa počíta nový
ports || Ports || ports || puertos || porty
A device with fewer known service ports is still being learned. || Ein Gerät mit weniger bekannten Dienst-Ports wird noch gelernt. || Un appareil avec moins de ports de service connus est encore en cours d'apprentissage. || Un dispositivo con menos puertos de servicio conocidos aún se está aprendiendo. || Zariadenie s menším počtom známych portov služieb sa ešte učí.
Unusual if the hour holds less than || Ungewöhnlich, wenn die Stunde weniger enthält als || Inhabituelle si l'heure représente moins de || Inusual si la hora contiene menos de || Nezvyčajné, ak hodina obsahuje menej ako
% of history || % des Verlaufs || % de l'historique || % del historial || % histórie
Activity in an hour of the day with less than this share of the device's past is unusual. || Aktivität in einer Tagesstunde, auf die weniger als dieser Anteil der Vergangenheit des Geräts entfällt, ist ungewöhnlich. || Une activité à une heure du jour représentant moins de cette part du passé de l'appareil est inhabituelle. || Es inusual la actividad en una hora del día que represente menos de esta proporción del pasado del dispositivo. || Aktivita v hodine dňa, na ktorú pripadá menej než tento podiel minulosti zariadenia, je nezvyčajná.
Days of history before judging || Tage Verlauf vor der Beurteilung || Jours d'historique avant jugement || Días de historial antes de juzgar || Dni histórie pred posúdením
days || Tage || jours || días || dní
How long a device is observed before its daily pattern is trusted. || Wie lange ein Gerät beobachtet wird, bevor sein Tagesmuster als verlässlich gilt. || Durée d'observation d'un appareil avant que son rythme quotidien soit jugé fiable. || Cuánto tiempo se observa un dispositivo antes de fiarse de su patrón diario. || Ako dlho sa zariadenie sleduje, kým sa jeho denný vzorec považuje za spoľahlivý.
hours || Stunden || heures || horas || hodín
Minimum gap between repeats || Mindestabstand zwischen Wiederholungen || Intervalle minimal entre répétitions || Intervalo mínimo entre repeticiones || Minimálny odstup medzi opakovaniami
The same claimant fighting over the same address is reported once per this time. || Derselbe Anspruchsteller um dieselbe Adresse wird einmal in diesem Zeitraum gemeldet. || Le même prétendant se disputant la même adresse n'est signalé qu'une fois par cette durée. || El mismo reclamante que disputa la misma dirección se avisa una vez por este tiempo. || Ten istý žiadateľ bojujúci o rovnakú adresu sa hlási raz za túto dobu.
Silent for || Stumm seit || Silencieux depuis || En silencio durante || Ticho počas
How long a reliably-online device must be unseen before it is reported. || Wie lange ein zuverlässig online befindliches Gerät unsichtbar sein muss, bevor es gemeldet wird. || Durée pendant laquelle un appareil fiablement en ligne doit rester invisible avant d'être signalé. || Cuánto tiempo debe pasar sin verse un dispositivo fiable en línea antes de avisar. || Ako dlho nesmie byť spoľahlivo online zariadenie videné, kým sa nahlási.
Counts as reliable if online || Gilt als zuverlässig, wenn online || Considéré fiable s'il est en ligne || Se considera fiable si está en línea || Považuje sa za spoľahlivé, ak je online
% of hours || % der Stunden || % des heures || % de las horas || % hodín
Share of hours in the last week a device must have been present. || Anteil der Stunden der letzten Woche, in denen ein Gerät anwesend gewesen sein muss. || Part des heures de la dernière semaine pendant lesquelles un appareil doit avoir été présent. || Proporción de horas de la última semana en que un dispositivo debe haber estado presente. || Podiel hodín za posledný týždeň, počas ktorých muselo byť zariadenie prítomné.
Site silent for || Standort stumm seit || Site silencieux depuis || Sitio en silencio durante || Lokalita mlčí
How long a remote site may stop reporting before one alert is raised. || Wie lange ein entfernter Standort nicht melden darf, bevor eine Warnung ausgelöst wird. || Durée pendant laquelle un site distant peut cesser de rapporter avant qu'une alerte soit levée. || Cuánto tiempo puede dejar de informar un sitio remoto antes de generar una alerta. || Ako dlho môže vzdialená lokalita prestať hlásiť, kým sa vyvolá upozornenie.
