# End of support and known exploited vulnerabilities from software versions (0.4.0).
CISA has published an ICS-CERT advisory naming this device's manufacturer. This is a coarser signal than the software checks above: an industrial device's firmware version is not read passively, so this cannot say whether this specific device is affected — only that it is worth checking. || CISA hat eine ICS-CERT-Empfehlung veröffentlicht, die den Hersteller dieses Geräts nennt. Dies ist ein gröberes Signal als die obigen Software-Prüfungen: Die Firmware-Version eines Industriegeräts wird nicht passiv gelesen, daher kann nicht gesagt werden, ob dieses konkrete Gerät betroffen ist — nur, dass es sich zu prüfen lohnt. || CISA a publié un avis ICS-CERT nommant le fabricant de cet appareil. C'est un signal plus grossier que les vérifications logicielles ci-dessus : la version du firmware d'un appareil industriel n'est pas lue passivement, donc cela ne peut pas dire si cet appareil précis est concerné — seulement que cela mérite d'être vérifié. || CISA ha publicado un aviso ICS-CERT que nombra al fabricante de este dispositivo. Es una señal más burda que las comprobaciones de software anteriores: la versión del firmware de un dispositivo industrial no se lee de forma pasiva, por lo que esto no puede decir si este dispositivo en concreto está afectado — solo que vale la pena comprobarlo. || CISA zverejnila odporúčanie ICS-CERT, ktoré menuje výrobcu tohto zariadenia. Je to hrubší signál ako softvérové kontroly vyššie: verzia firmvéru priemyselného zariadenia sa nečíta pasívne, takže sa nedá povedať, či je konkrétne toto zariadenie zasiahnuté — len že sa to oplatí overiť.
Look up the advisory (its id is in the evidence below) and compare it against this device's exact model and firmware version. || Suchen Sie die Empfehlung (ihre ID steht im Nachweis unten) und vergleichen Sie sie mit dem genauen Modell und der Firmware-Version dieses Geräts. || Recherchez l'avis (son identifiant figure dans les preuves ci-dessous) et comparez-le au modèle exact et à la version du firmware de cet appareil. || Busque el aviso (su id está en la evidencia de abajo) y compárelo con el modelo exacto y la versión de firmware de este dispositivo. || Vyhľadajte odporúčanie (jeho id je v dôkazoch nižšie) a porovnajte ho s presným modelom a verziou firmvéru tohto zariadenia.
scanned just now: the service still announces this version || eben gescannt: Der Dienst meldet diese Version weiterhin || analysé à l'instant : le service annonce toujours cette version || escaneado ahora: el servicio sigue anunciando esta versión || práve naskenované: služba stále oznamuje túto verziu
scanned just now: the service no longer announces this version || eben gescannt: Der Dienst meldet diese Version nicht mehr || analysé à l'instant : le service n'annonce plus cette version || escaneado ahora: el servicio ya no anuncia esta versión || práve naskenované: služba túto verziu už neoznamuje
SSH banner || SSH-Banner || Bannière SSH || Banner SSH || SSH banner
Web server banner || Webserver-Banner || Bannière du serveur web || Banner del servidor web || Banner webového servera
FTP banner || FTP-Banner || Bannière FTP || Banner FTP || FTP banner
Mail server banner || Mailserver-Banner || Bannière du serveur de messagerie || Banner del servidor de correo || Banner poštového servera
Telnet banner || Telnet-Banner || Bannière Telnet || Banner de Telnet || Telnet banner
Database server banner || Datenbankserver-Banner || Bannière du serveur de base de données || Banner del servidor de base de datos || Banner databázového servera
Windows build (from SMB) || Windows-Build (von SMB) || Version de Windows (via SMB) || Compilación de Windows (por SMB) || Windows build (zo SMB)
SQL Server build || SQL-Server-Build || Version de SQL Server || Compilación de SQL Server || SQL Server build
{product} {version}: support for the {cycle} series ended on {date}. || {product} {version}: Der Support für die Reihe {cycle} endete am {date}. || {product} {version} : la prise en charge de la série {cycle} s'est terminée le {date}. || {product} {version}: el soporte de la serie {cycle} terminó el {date}. || {product} {version}: podpora série {cycle} skončila {date}.
{product} {version}: support for the {cycle} series has ended. || {product} {version}: Der Support für die Reihe {cycle} ist beendet. || {product} {version} : la prise en charge de la série {cycle} est terminée. || {product} {version}: el soporte de la serie {cycle} ha terminado. || {product} {version}: podpora série {cycle} skončila.
{product} {version}: support for the {cycle} series ends on {date} (in {n} days). || {product} {version}: Der Support für die Reihe {cycle} endet am {date} (in {n} Tagen). || {product} {version} : la prise en charge de la série {cycle} se termine le {date} (dans {n} jours). || {product} {version}: el soporte de la serie {cycle} termina el {date} (en {n} días). || {product} {version}: podpora série {cycle} skončí {date} (o {n} dní).
{product} {version} is in the range affected by {cve} ({name}), which attackers are exploiting. || {product} {version} liegt im Bereich, der von {cve} ({name}) betroffen ist, was Angreifer ausnutzen. || {product} {version} se situe dans la plage touchée par {cve} ({name}), que des attaquants exploitent. || {product} {version} está en el rango afectado por {cve} ({name}), que los atacantes están explotando. || {product} {version} je v rozsahu zasiahnutom {cve} ({name}), ktorú útočníci zneužívajú.
The banner names a distribution, which may have fixed this without changing the version number: check. || Das Banner nennt eine Distribution, die dies möglicherweise behoben hat, ohne die Versionsnummer zu ändern: Bitte prüfen. || La bannière nomme une distribution, qui a pu corriger cela sans changer le numéro de version : vérifiez. || El banner nombra una distribución, que puede haberlo corregido sin cambiar el número de versión: compruébelo. || Banner uvádza distribúciu, ktorá to mohla opraviť bez zmeny čísla verzie: overte to.
A distribution may still patch it: check with yours. || Eine Distribution kann es weiterhin patchen: Fragen Sie bei Ihrer nach. || Une distribution peut encore le corriger : renseignez-vous auprès de la vôtre. || Una distribución puede seguir parcheándolo: consulte con la suya. || Distribúcia ho môže stále záplatovať: overte si to u tej vašej.
Used in ransomware campaigns. || Wird in Ransomware-Kampagnen verwendet. || Utilisée dans des campagnes de rançongiciel. || Se usa en campañas de ransomware. || Používa sa v ransomvérových kampaniach.
{vendor} has an open ICS-CERT advisory, {id} ({name}), published {date}. || {vendor} hat eine offene ICS-CERT-Empfehlung, {id} ({name}), veröffentlicht am {date}. || {vendor} a un avis ICS-CERT ouvert, {id} ({name}), publié le {date}. || {vendor} tiene un aviso ICS-CERT abierto, {id} ({name}), publicado el {date}. || {vendor} má otvorené odporúčanie ICS-CERT, {id} ({name}), zverejnené {date}.
EPSS: {pct}% modelled probability of exploitation in the next 30 days. || EPSS: {pct}% modellierte Wahrscheinlichkeit der Ausnutzung in den nächsten 30 Tagen. || EPSS : {pct} % de probabilité modélisée d'exploitation dans les 30 prochains jours. || EPSS: {pct}% de probabilidad modelada de explotación en los próximos 30 días. || EPSS: {pct} % modelovaná pravdepodobnosť zneužitia v nasledujúcich 30 dňoch.
Software versions: end of support and known exploits || Softwareversionen: Supportende und bekannte Exploits || Versions de logiciels : fin de support et exploits connus || Versiones de software: fin de soporte y exploits conocidos || Verzie softvéru: koniec podpory a známe exploity
Software data || Softwaredaten || Données logicielles || Datos de software || Údaje o softvéri
When a service tells DENIS its version (an SSH, FTP or mail banner, a web server header), DENIS can say whether that version is still supported and whether it is in the range of a vulnerability that attackers are exploiting now. Nothing is claimed without a version. A distribution may fix a flaw without changing the version number, so read a match as "check this", not as a verdict. || Nennt ein Dienst DENIS seine Version (ein SSH-, FTP- oder Mail-Banner, ein Webserver-Header), kann DENIS sagen, ob diese Version noch unterstützt wird und ob sie im Bereich einer Schwachstelle liegt, die Angreifer gerade ausnutzen. Ohne Version wird nichts behauptet. Eine Distribution kann einen Fehler beheben, ohne die Versionsnummer zu ändern; lesen Sie einen Treffer daher als „prüfen“, nicht als Urteil. || Lorsqu'un service indique sa version à DENIS (bannière SSH, FTP ou courriel, en-tête de serveur web), DENIS peut dire si cette version est encore prise en charge et si elle se trouve dans la plage d'une vulnérabilité que des attaquants exploitent actuellement. Rien n'est affirmé sans version. Une distribution peut corriger une faille sans changer le numéro de version : lisez une correspondance comme « à vérifier », pas comme un verdict. || Cuando un servicio le indica a DENIS su versión (un banner SSH, FTP o de correo, una cabecera de servidor web), DENIS puede decir si esa versión sigue soportada y si está en el rango de una vulnerabilidad que los atacantes explotan ahora. No se afirma nada sin versión. Una distribución puede corregir un fallo sin cambiar el número de versión: lea una coincidencia como «compruébelo», no como un veredicto. || Keď služba oznámi DENIS svoju verziu (banner SSH, FTP alebo pošty, hlavička webového servera), DENIS vie povedať, či je táto verzia ešte podporovaná a či je v rozsahu zraniteľnosti, ktorú útočníci práve zneužívajú. Bez verzie sa nič netvrdí. Distribúcia môže chybu opraviť bez zmeny čísla verzie, preto zhodu čítajte ako „overte“, nie ako rozsudok.
Support dates for {n} products and {k} known-exploited vulnerabilities, as of {date}. || Supportdaten für {n} Produkte und {k} bekannte ausgenutzte Schwachstellen, Stand {date}. || Dates de fin de support pour {n} produits et {k} vulnérabilités connues et exploitées, au {date}. || Fechas de soporte de {n} productos y {k} vulnerabilidades explotadas conocidas, a fecha {date}. || Dátumy podpory pre {n} produktov a {k} známych zneužívaných zraniteľností, k {date}.
The support dates were refreshed from endoflife.date {ago}. || Die Supportdaten wurden {ago} von endoflife.date aktualisiert. || Les dates de fin de support ont été actualisées depuis endoflife.date {ago}. || Las fechas de soporte se actualizaron desde endoflife.date {ago}. || Dátumy podpory boli aktualizované z endoflife.date {ago}.
The support dates are the ones that came with this version of DENIS. || Die Supportdaten sind die, die mit dieser DENIS-Version geliefert wurden. || Les dates de fin de support sont celles fournies avec cette version de DENIS. || Las fechas de soporte son las que vienen con esta versión de DENIS. || Dátumy podpory sú tie, ktoré prišli s touto verziou DENIS.
The known-exploited list (CISA) and its affected versions (NVD) come with new versions of DENIS. Refreshing the support dates contacts endoflife.date and sends nothing about your network. || Die Liste bekannter ausgenutzter Schwachstellen (CISA) und ihre betroffenen Versionen (NVD) kommen mit neuen DENIS-Versionen. Das Aktualisieren der Supportdaten kontaktiert endoflife.date und sendet nichts über Ihr Netzwerk. || La liste des vulnérabilités connues et exploitées (CISA) et leurs versions touchées (NVD) arrivent avec les nouvelles versions de DENIS. L'actualisation des dates de support contacte endoflife.date et n'envoie rien sur votre réseau. || La lista de vulnerabilidades explotadas conocidas (CISA) y sus versiones afectadas (NVD) llegan con las nuevas versiones de DENIS. Actualizar las fechas de soporte contacta con endoflife.date y no envía nada sobre su red. || Zoznam známych zneužívaných zraniteľností (CISA) a ich dotknuté verzie (NVD) prichádzajú s novými verziami DENIS. Aktualizácia dátumov podpory kontaktuje endoflife.date a neposiela nič o vašej sieti.
Refresh the support dates from endoflife.date every week || Supportdaten jede Woche von endoflife.date aktualisieren || Actualiser chaque semaine les dates de support depuis endoflife.date || Actualizar cada semana las fechas de soporte desde endoflife.date || Každý týždeň aktualizovať dátumy podpory z endoflife.date
Refresh now || Jetzt aktualisieren || Actualiser maintenant || Actualizar ahora || Aktualizovať teraz
Refreshed {n} products. || {n} Produkte aktualisiert. || {n} produits actualisés. || {n} productos actualizados. || Aktualizovaných {n} produktov.
{n} could not be fetched. || {n} konnten nicht abgerufen werden. || {n} n'ont pas pu être récupérés. || {n} no se pudieron obtener. || {n} sa nepodarilo stiahnuť.
