# Findings (src/findings.rs).
Telnet is open || Telnet ist offen || Telnet est ouvert || Telnet está abierto || Telnet je otvorený
Restrict management to a management VLAN or specific addresses, use strong credentials and keep RouterOS updated. || Verwaltung auf ein Management-VLAN oder bestimmte Adressen beschränken, starke Zugangsdaten verwenden und RouterOS aktuell halten. || Limitez l'administration à un VLAN d'administration ou à des adresses précises, utilisez des identifiants robustes et gardez RouterOS à jour. || Limite la administración a una VLAN de gestión o a direcciones concretas, use credenciales fuertes y mantenga RouterOS actualizado. || Obmedzte správu na správcovskú VLAN alebo konkrétne adresy, používajte silné prihlasovacie údaje a udržiavajte RouterOS aktualizovaný.
A device marked lost or stolen is on the network || Ein als verloren oder gestohlen markiertes Gerät ist im Netzwerk || Un appareil déclaré perdu ou volé est sur le réseau || Un dispositivo marcado como perdido o robado está en la red || Zariadenie označené ako stratené alebo ukradnuté je v sieti
A device you recorded as lost or stolen has been seen recently. || Ein Gerät, das Sie als verloren oder gestohlen erfasst haben, wurde kürzlich gesehen. || Un appareil que vous avez déclaré perdu ou volé a été vu récemment. || Un dispositivo que registró como perdido o robado se ha visto recientemente. || Zariadenie, ktoré ste zaznamenali ako stratené alebo ukradnuté, bolo nedávno videné.
Treat it as an incident: find where it is connected, block its MAC at the switch or access point, and change credentials it may hold. || Als Vorfall behandeln: herausfinden, wo es angeschlossen ist, seine MAC am Switch oder Access Point sperren und darauf gespeicherte Zugangsdaten ändern. || Traitez-le comme un incident : trouvez où il est connecté, bloquez son MAC sur le commutateur ou le point d'accès, et changez les identifiants qu'il peut contenir. || Trátelo como un incidente: localice dónde está conectado, bloquee su MAC en el switch o punto de acceso y cambie las credenciales que pueda contener. || Berte to ako incident: zistite, kde je pripojené, zablokujte jeho MAC na switchi alebo prístupovom bode a zmeňte prihlasovacie údaje, ktoré môže obsahovať.
A retired device is still on the network || Ein ausgemustertes Gerät ist noch im Netzwerk || Un appareil retiré est toujours sur le réseau || Un dispositivo retirado sigue en la red || Vyradené zariadenie je stále v sieti
Retired equipment is usually not patched or monitored, but it is still connected. || Ausgemusterte Geräte werden meist weder gepatcht noch überwacht, sind aber weiterhin verbunden. || Le matériel retiré n'est généralement ni mis à jour ni surveillé, mais il reste connecté. || El equipo retirado normalmente no se parchea ni se supervisa, pero sigue conectado. || Vyradené zariadenia sa zvyčajne neaktualizujú ani nemonitorujú, no stále sú pripojené.
Disconnect and wipe it, or change its status if it is back in service. || Trennen und löschen, oder den Status ändern, falls es wieder im Einsatz ist. || Déconnectez-le et effacez-le, ou changez son statut s'il est de nouveau en service. || Desconéctelo y bórrelo, o cambie su estado si ha vuelto a estar en servicio. || Odpojte ho a vymažte, alebo zmeňte jeho stav, ak je opäť v prevádzke.
Critical devices have no owner || Kritische Geräte haben keinen Besitzer || Des appareils critiques n'ont pas de responsable || Los dispositivos críticos no tienen responsable || Kritické zariadenia nemajú vlastníka
When a device you rated high or critical misbehaves, nobody is responsible for answering. || Wenn ein von Ihnen als hoch oder kritisch eingestuftes Gerät auffällig wird, ist niemand für die Reaktion zuständig. || Quand un appareil que vous avez classé élevé ou critique se comporte mal, personne n'est responsable pour répondre. || Cuando un dispositivo que calificó como alto o crítico se comporta mal, nadie es responsable de responder. || Keď sa zariadenie, ktoré ste ohodnotili ako vysoké alebo kritické, správa zle, nikto nezodpovedá za reakciu.
Open each device and fill in the owner (a person or team). || Jedes Gerät öffnen und den Besitzer (Person oder Team) eintragen. || Ouvrez chaque appareil et renseignez le responsable (une personne ou une équipe). || Abra cada dispositivo e indique el responsable (una persona o un equipo). || Otvorte každé zariadenie a vyplňte vlastníka (osobu alebo tím).
Industrial devices have no Purdue level || Industriegeräte haben keine Purdue-Ebene || Des appareils industriels n'ont pas de niveau Purdue || Los dispositivos industriales no tienen nivel Purdue || Priemyselné zariadenia nemajú úroveň Purdue
Without a level DENIS and your auditors cannot check that traffic follows the segmentation plan. || Ohne Ebene können DENIS und Ihre Prüfer nicht kontrollieren, ob der Verkehr dem Segmentierungsplan folgt. || Sans niveau, DENIS et vos auditeurs ne peuvent pas vérifier que le trafic suit le plan de segmentation. || Sin nivel, DENIS y sus auditores no pueden comprobar que el tráfico sigue el plan de segmentación. || Bez úrovne nemôže DENIS ani vaši audítori overiť, či prevádzka dodržiava plán segmentácie.
Set the Purdue level (0–5) and zone on each industrial device. || Purdue-Ebene (0–5) und Zone an jedem Industriegerät festlegen. || Définissez le niveau Purdue (0–5) et la zone de chaque appareil industriel. || Establezca el nivel Purdue (0–5) y la zona de cada dispositivo industrial. || Nastavte úroveň Purdue (0–5) a zónu pre každé priemyselné zariadenie.
Devices could not be identified || Geräte konnten nicht identifiziert werden || Des appareils n'ont pas pu être identifiés || No se pudo identificar algunos dispositivos || Zariadenia sa nepodarilo identifikovať
A device you cannot name is a device you cannot secure or explain. || Ein Gerät, das Sie nicht benennen können, können Sie weder absichern noch erklären. || Un appareil que vous ne pouvez pas nommer est un appareil que vous ne pouvez ni sécuriser ni expliquer. || Un dispositivo que no sabe nombrar es un dispositivo que no puede proteger ni explicar. || Zariadenie, ktoré neviete pomenovať, nemôžete zabezpečiť ani vysvetliť.
Find out what each one is and enter its type and name; DENIS will then treat it as known. || Herausfinden, was jedes ist, und Typ und Name eintragen; DENIS behandelt es dann als bekannt. || Découvrez ce qu'est chacun, saisissez son type et son nom ; DENIS le traitera alors comme connu. || Averigüe qué es cada uno e introduzca su tipo y nombre; DENIS lo tratará entonces como conocido. || Zistite, čo je každé z nich, a zadajte jeho typ a názov; DENIS ho potom bude považovať za známe.
Devices nobody has reviewed yet || Geräte, die noch niemand geprüft hat || Des appareils que personne n'a encore examinés || Dispositivos que nadie ha revisado aún || Zariadenia, ktoré ešte nikto nekontroloval
New devices stay on this list until a person confirms they belong. It is how an unknown device gets noticed rather than assumed. || Neue Geräte bleiben auf dieser Liste, bis eine Person bestätigt, dass sie dazugehören. So fällt ein unbekanntes Gerät auf, statt einfach angenommen zu werden. || Les nouveaux appareils restent sur cette liste jusqu'à ce qu'une personne confirme qu'ils ont leur place. C'est ainsi qu'un appareil inconnu est remarqué plutôt que présumé. || Los dispositivos nuevos permanecen en esta lista hasta que una persona confirma que pertenecen. Así se detecta un dispositivo desconocido en lugar de darlo por supuesto. || Nové zariadenia zostávajú v tomto zozname, kým osoba nepotvrdí, že patria do siete. Tak sa neznáme zariadenie zaznamená namiesto toho, aby sa predpokladalo.
Look through them (Devices tab, filter: needs review). Open each to correct its name and type, or press Mark as known; "Mark all shown as known" accepts a whole list at once. || Gehen Sie sie durch (Reiter Geräte, Filter: Prüfung nötig). Öffnen Sie jedes, um Name und Typ zu korrigieren, oder drücken Sie „Als bekannt markieren“; „Alle angezeigten als bekannt markieren“ übernimmt eine ganze Liste auf einmal. || Parcourez-les (onglet Appareils, filtre : à examiner). Ouvrez chacun pour corriger son nom et son type, ou cliquez sur « Marquer comme connu » ; « Marquer tous les appareils affichés comme connus » accepte toute la liste d'un coup. || Revíselos (pestaña Dispositivos, filtro: requiere revisión). Abra cada uno para corregir su nombre y tipo, o pulse «Marcar como conocido»; «Marcar todos los mostrados como conocidos» acepta toda la lista a la vez. || Prejdite ich (karta Zariadenia, filter: treba skontrolovať). Otvorte každé a opravte názov a typ, alebo stlačte „Označiť ako známe“; „Označiť všetky zobrazené ako známe“ prijme celý zoznam naraz.
Warranty has expired || Die Garantie ist abgelaufen || La garantie a expiré || La garantía ha caducado || Záruka vypršala
Out-of-warranty devices are often out of support, too: no repairs and sometimes no security updates. || Geräte ohne Garantie haben oft auch keinen Support mehr: keine Reparaturen und manchmal keine Sicherheitsupdates. || Les appareils hors garantie sont souvent aussi hors support : ni réparations, ni parfois de mises à jour de sécurité. || Los dispositivos sin garantía suelen quedar también sin soporte: sin reparaciones y a veces sin actualizaciones de seguridad. || Zariadenia po záruke sú často aj bez podpory: bez opráv a niekedy bez bezpečnostných aktualizácií.
Renew support, plan the replacement, or set the status to retired when it goes. || Support verlängern, den Ersatz planen oder den Status auf „ausgemustert“ setzen, wenn es weggeht. || Renouvelez le support, planifiez le remplacement, ou passez le statut à « retiré » lorsqu'il part. || Renueve el soporte, planifique la sustitución o ponga el estado en «retirado» cuando salga. || Obnovte podporu, naplánujte výmenu alebo nastavte stav na „vyradené“, keď zariadenie odíde.
Warranty expires within 60 days || Die Garantie läuft innerhalb von 60 Tagen ab || La garantie expire dans les 60 jours || La garantía caduca en 60 días || Záruka vyprší do 60 dní
Renewal is cheaper before it lapses. || Eine Verlängerung ist günstiger, bevor sie ausläuft. || Le renouvellement est moins cher avant l'expiration. || Renovar es más barato antes de que caduque. || Obnovenie je lacnejšie pred vypršaním.
Renew the warranty or support contract, or plan the replacement. || Garantie oder Supportvertrag verlängern oder den Ersatz planen. || Renouvelez la garantie ou le contrat de support, ou planifiez le remplacement. || Renueve la garantía o el contrato de soporte, o planifique la sustitución. || Obnovte záruku alebo zmluvu o podpore, alebo naplánujte výmenu.
