# Setup guide (0.4.0).
Setup guide || Einrichtungsassistent || Assistant de configuration || Guía de configuración || Sprievodca nastavením
Alerts are only visible in this console. Add Slack, Teams, e-mail or PagerDuty so that somebody is told. || Alarme sind nur in dieser Konsole sichtbar. Fügen Sie Slack, Teams, E-Mail oder PagerDuty hinzu, damit jemand benachrichtigt wird. || Les alertes ne sont visibles que dans cette console. Ajoutez Slack, Teams, e-mail ou PagerDuty pour que quelqu'un soit prévenu. || Las alertas solo se ven en esta consola. Añada Slack, Teams, correo o PagerDuty para que alguien reciba el aviso. || Upozornenia sú viditeľné iba v tejto konzole. Pridajte Slack, Teams, e-mail alebo PagerDuty, aby sa o nich niekto dozvedel.
Your colleagues || Ihre Kolleginnen und Kollegen || Vos collègues || Sus compañeros || Vaši kolegovia
Open Users || Benutzer öffnen || Ouvrir Utilisateurs || Abrir Usuarios || Otvoriť Používateľov
{users} people can sign in. || {users} Personen können sich anmelden. || {users} personnes peuvent se connecter. || {users} personas pueden iniciar sesión. || Prihlásiť sa môže {users} ľudí.
Only you can sign in. Add colleagues as viewers (read only), editors or administrators. || Nur Sie können sich anmelden. Fügen Sie Kollegen als Betrachter (nur lesen), Bearbeiter oder Administratoren hinzu. || Vous seul pouvez vous connecter. Ajoutez des collègues comme lecteurs (lecture seule), éditeurs ou administrateurs. || Solo usted puede iniciar sesión. Añada compañeros como lectores (solo lectura), editores o administradores. || Prihlásiť sa môžete iba vy. Pridajte kolegov ako čitateľov (iba na čítanie), editorov alebo administrátorov.
Backups and reports || Backups und Berichte || Sauvegardes et rapports || Copias de seguridad e informes || Zálohy a reporty
Backup schedule: {schedule}. Scheduled reports: {reports}. Backups kept: {backups}. || Backup-Zeitplan: {schedule}. Geplante Berichte: {reports}. Aufbewahrte Backups: {backups}. || Planification des sauvegardes : {schedule}. Rapports planifiés : {reports}. Sauvegardes conservées : {backups}. || Programación de copias: {schedule}. Informes programados: {reports}. Copias guardadas: {backups}. || Plán záloh: {schedule}. Plánované reporty: {reports}. Uchované zálohy: {backups}.
There is no backup yet. Switch the backup schedule on, or make one now. Saved reports for an auditor are under Reports. || Es gibt noch kein Backup. Schalten Sie den Backup-Zeitplan ein oder erstellen Sie jetzt eines. Gespeicherte Berichte für Prüfer finden Sie unter Berichte. || Il n'y a pas encore de sauvegarde. Activez la planification des sauvegardes ou faites-en une maintenant. Les rapports enregistrés pour un auditeur sont sous Rapports. || Aún no hay copias de seguridad. Active la programación o haga una ahora. Los informes guardados para un auditor están en Informes. || Zatiaľ nie je žiadna záloha. Zapnite plán záloh alebo urobte zálohu teraz. Uložené reporty pre audítora nájdete v Reportoch.
Make it yours || Machen Sie es zu Ihrem || Personnalisez-le || Hágalo suyo || Prispôsobte si ho
Open Branding || Branding öffnen || Ouvrir Personnalisation || Abrir Marca || Otvoriť Vzhľad
Your name, colour or logo is set. || Name, Farbe oder Logo sind gesetzt. || Votre nom, couleur ou logo est défini. || Su nombre, color o logotipo está definido. || Váš názov, farba alebo logo sú nastavené.
Optional: your product name, colour and logo (white label) for the console, the sign-in page and reports. || Optional: Ihr Produktname, Ihre Farbe und Ihr Logo (White Label) für Konsole, Anmeldeseite und Berichte. || Facultatif : votre nom de produit, couleur et logo (marque blanche) pour la console, la page de connexion et les rapports. || Opcional: su nombre de producto, color y logotipo (marca blanca) para la consola, la página de inicio de sesión y los informes. || Voliteľné: názov produktu, farba a logo (white label) pre konzolu, prihlasovaciu stránku a reporty.
Welcome to DENIS. This checklist shows what a new installation usually needs. Each item turns green when it is really done, and you can open this guide again from Settings. || Willkommen bei DENIS. Diese Checkliste zeigt, was eine neue Installation üblicherweise braucht. Jeder Punkt wird grün, wenn er wirklich erledigt ist, und Sie können diesen Assistenten jederzeit in den Einstellungen wieder öffnen. || Bienvenue dans DENIS. Cette liste montre ce dont une nouvelle installation a généralement besoin. Chaque élément devient vert lorsqu'il est vraiment fait, et vous pouvez rouvrir cet assistant depuis les Paramètres. || Bienvenido a DENIS. Esta lista muestra lo que suele necesitar una instalación nueva. Cada punto se pone en verde cuando está realmente hecho, y puede volver a abrir esta guía desde Ajustes. || Vitajte v DENIS. Tento zoznam ukazuje, čo nová inštalácia zvyčajne potrebuje. Každá položka sa zafarbí nazeleno, keď je naozaj hotová, a tohto sprievodcu môžete znova otvoriť v Nastaveniach.
{n} of {total} still to do. || Noch {n} von {total} offen. || Encore {n} sur {total} à faire. || Faltan {n} de {total}. || Zostáva {n} z {total}.
Everything is done. || Alles erledigt. || Tout est fait. || Todo hecho. || Všetko je hotové.
Mark as done || Als erledigt markieren || Marquer comme terminé || Marcar como hecho || Označiť ako hotové
Remind me later || Später erinnern || Me le rappeler plus tard || Recordármelo más tarde || Pripomenúť neskôr
A checklist of what a new installation usually needs: your network, sign-in security, notifications, colleagues, backups and your branding. Each item turns green when it is really done. || Eine Checkliste dessen, was eine neue Installation üblicherweise braucht: Ihr Netzwerk, Anmeldesicherheit, Benachrichtigungen, Kollegen, Backups und Ihr Branding. Jeder Punkt wird grün, wenn er wirklich erledigt ist. || Une liste de ce dont une nouvelle installation a généralement besoin : votre réseau, la sécurité de connexion, les notifications, les collègues, les sauvegardes et votre personnalisation. Chaque élément devient vert lorsqu'il est vraiment fait. || Una lista de lo que suele necesitar una instalación nueva: su red, la seguridad del inicio de sesión, las notificaciones, los compañeros, las copias de seguridad y su marca. Cada punto se pone en verde cuando está realmente hecho. || Zoznam toho, čo nová inštalácia zvyčajne potrebuje: vaša sieť, bezpečnosť prihlásenia, upozornenia, kolegovia, zálohy a váš branding. Každá položka sa zafarbí nazeleno, keď je naozaj hotová.
Open the setup guide || Einrichtungsassistent öffnen || Ouvrir l'assistant de configuration || Abrir la guía de configuración || Otvoriť sprievodcu nastavením
